problem,density,arrival_scale,seed_Res,seed_J,best_EOH_Res,best_EOH_J,delta_J,clean_class,valid_candidates,suspicious_candidates,invalid_candidates,raw_best_objective,filtered_best_objective,best_candidate_id,source_file
rc103.json,d25,0.8,,,,,,excluded_no_sa,4,0,0,658.44825,658.44825,eoh_arrival_d25_t0p8_rc103_d25_t0p8_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc103.json,d25,0.9,,,,,,excluded_no_sa,4,0,0,559.24474,559.24474,eoh_arrival_d25_t0p9_rc103_d25_t0p9_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc103.json,d25,1.0,,,,,,excluded_no_sa,1,0,1,664.11955,664.11955,eoh_arrival_d25_t1p0_rc103_d25_t1p0_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc103.json,d50,0.6,,,,,,excluded_no_sa,4,0,0,540.87478,540.87478,eoh_arrival_d50_t0p6_rc103_d50_t0p6_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc103.json,d50,0.7,,,,,,excluded_no_sa,3,0,1,590.45035,590.45035,eoh_arrival_d50_t0p7_rc103_d50_t0p7_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc103.json,d50,0.8,,,,,,excluded_no_sa,4,0,0,658.49232,658.49232,eoh_arrival_d50_t0p8_rc103_d50_t0p8_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc103.json,d50,0.9,,,,,,excluded_no_sa,4,0,0,592.07582,592.07582,eoh_arrival_d50_t0p9_rc103_d50_t0p9_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc103.json,d50,1.0,,,,,,excluded_no_sa,4,0,0,607.46475,607.46475,eoh_arrival_d50_t1p0_rc103_d50_t1p0_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc103.json,d75,0.7,18.8001631,80.08211389495256,20.1853533,-5.0,-85.08211389495256,excluded_negative_eoh,4,0,0,340.57487,340.57487,eoh_arrival_d75_t0p7_rc103_d75_t0p7_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc103.json,d75,0.9,18.7313483,80.08211389495256,19.8943161,-5.0,-85.08211389495256,excluded_negative_eoh,4,0,0,340.71771,340.71771,eoh_arrival_d75_t0p9_rc103_d75_t0p9_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc104.json,d50,0.9,0.469173625,287.6687557001582,,,,excluded_no_eoh,4,0,0,199.82434,199.82434,eoh_arrival_d50_t0p9_rc104_d50_t0p9_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc104.json,d50,1.0,0.40982665,376.2111006978276,,,,excluded_no_eoh,4,0,0,203.0862,203.0862,eoh_arrival_d50_t1p0_rc104_d50_t1p0_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc105.json,d50,0.6,0.8562633142857142,439.11046288365964,,,,excluded_no_eoh,4,0,0,542.58492,542.58492,eoh_arrival_d50_t0p6_rc105_d50_t0p6_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc105.json,d50,0.7,0.8978349,449.3085019108452,,,,excluded_no_eoh,3,0,1,591.41277,591.41277,eoh_arrival_d50_t0p7_rc105_d50_t0p7_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc105.json,d50,0.8,0.9690383,497.1989354953167,,,,excluded_no_eoh,3,1,0,38.93261,591.38517,eoh_arrival_d50_t0p8_rc105_d50_t0p8_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
rc105.json,d75,0.7,1.0709082,310.7816720394007,2.69703112,90.73630132415991,-220.04537071524078,excluded_suspicious_low,4,0,0,148.56531,148.56531,eoh_arrival_d75_t0p7_rc105_d75_t0p7_20260425_213811,eoh_go_workspace\reports\tables\eoh_arrival_grid_flash_dynamic_filtered_rc103_105\run_20260425_213811\eoh_arrival_grid_results.json
